Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly values

Station:                  St. Gallen
Altitude [m asl]:         776 m
Coordinates:              47° 25.5' N / 9° 23.9' E

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            2.02.2022


Year  Month        Temperature      Precipitation  
1890      7               13.2              197.7  
1890      8               13.9              401.8  
1890      9               10.6               64.0  
1890     10                5.3              148.7  
1890     11                1.8               76.3  
1890     12               -6.5                9.0  
1891      1               -5.9               51.2  
1891      2               -3.7               13.4  
1891      3                1.9              134.9  
1891      4                3.2              137.4  
1891      5               10.0              131.7  
1891      6               13.7              198.8  
1891      7               14.1              253.4  
1891      8               13.6              155.4  
1891      9               12.1              122.1  
1891     10                8.6               90.6  
1891     11                1.7               64.4  
1891     12               -0.1              110.2  
1892      1               -2.2               84.2  
1892      2                0.9               68.5  
1892      3               -0.9               56.0  
1892      4                5.8              201.9  
1892      5               10.4               66.9  
1892      6               13.7              192.0  
1892      7               14.6              198.0  
1892      8               16.8              100.7  
1892      9               12.5              261.3  
1892     10                7.4              187.1  
1892     11                4.5               49.3  
1892     12               -2.3               40.8  
1893      1               -6.8               82.4  
1893      2                1.2               61.4  
1893      3                3.2               30.9  
1893      4                8.4                6.9  
1893      5                9.8              150.1  
1893      6               13.5              131.6  
1893      7               15.2              226.5  
1893      8               15.4               32.6  
1893      9               12.0              126.9  
1893     10                9.0              116.8  
1893     11                1.4              101.0  
1893     12               -1.9               31.1  
1894      1               -3.2               29.3  
1894      2               -0.2               69.0  
1894      3                3.1               49.2  
1894      4                7.7              121.7  
1894      5                9.0              234.0  
1894      6               12.7              156.4  
1894      7               15.7              191.3  
1894      8               14.4              187.0  
1894      9               10.5              131.4  
1894     10                7.8              103.1  
1894     11                3.5               37.3  
1894     12               -2.0               66.7  
1895      1               -5.0               63.8  
1895      2               -8.6               29.3  
1895      3                0.8               85.6  
1895      4                6.9               88.9  
1895      5                9.6              150.3  
1895      6               13.4              186.5  
1895      7               16.0              121.7  
1895      8               14.7              189.6  
1895      9               14.4                9.9  
1895     10                6.9              112.3  
1895     11                5.4               69.1  
1895     12                0.4              143.2  
1896      1               -2.8               25.5  
1896      2               -2.7               28.9  
1896      3                4.7              142.6  
1896      4                3.2              190.4  
1896      5                7.6              257.7  
1896      6               13.6              166.5  
1896      7               15.1              223.8  
1896      8               12.3              257.1  
1896      9               11.5              241.3  
1896     10                6.9              121.2  
1896     11                0.6               51.1  
1896     12               -0.7               44.4  
1897      1               -3.0               31.4  
1897      2                2.9              156.5  
1897      3                4.7               93.2  
1897      4                5.6              149.3  
1897      5                7.5              185.1  
1897      6               15.1              207.7  
1897      7               15.7              154.4  
1897      8               15.3              274.0  
1897      9               10.8              253.9  
1897     10                5.9               48.2  
1897     11                2.5               16.9  
1897     12               -0.2               36.1  
1898      1                1.0               11.0  
1898      2               -0.7              132.2  
1898      3                1.4               68.7  
1898      4                6.0              106.5  
1898      5                9.5              170.9  
1898      6               12.5              217.6  
1898      7               13.9              198.1  
1898      8               16.5              128.2  
1898      9               12.8               60.5  
1898     10                9.2              124.0  
1898     11                4.4              106.8  
1898     12                0.0               51.5  
1899      1                1.3              101.3  
1899      2                1.8               24.3  
1899      3                2.6               53.1  
1899      4                5.5              215.0  
1899      5                9.1              139.1  
1899      6               13.4               96.4  
1899      7               15.2               95.3  
1899      8               16.0               75.9  
1899      9               11.7              190.2  
1899     10                8.2               82.2  
1899     11                3.6               16.4  
1899     12               -2.9               91.2  
1900      1                0.3              148.7  
1900      2                2.2               79.3  
1900      3               -1.3              124.9  
1900      4                4.8              125.3  
1900      5                8.8              149.4  
1900      6               14.5               96.0  
1900      7               16.7              153.0  
1900      8               13.9              114.8  
1900      9               13.7               59.0  
1900     10                8.2              110.8  
1900     11                4.0               86.8  
1900     12                1.7               44.7  
1901      1               -3.1               32.8  
1901      2               -6.1               40.8  
1901      3                1.0              106.5  
1901      4                6.2              157.6  
1901      5               10.1               42.4  
1901      6               14.1              219.4  
1901      7               15.7               97.7  
1901      8               14.2              194.3  
1901      9               12.4              137.4  
1901     10                7.1               71.7  
1901     11                0.2               45.7  
1901     12                0.3               59.1  
1902      1                0.9               36.2  
1902      2               -1.4               52.4  
1902      3                2.5               77.6  
1902      4                7.7               50.2  
1902      5                6.1              253.7  
1902      6               12.6              146.0  
1902      7               15.5              175.2  
1902      8               14.7              197.1  
1902      9               11.6              191.1  
1902     10                7.2              116.4  
1902     11                1.6               11.8  
1902     12               -1.8               85.2  
1903      1               -0.9               56.8  
1903      2                1.9               52.8  
1903      3                4.2               51.9  
1903      4                2.8              118.2  
1903      5               10.3               49.8  
1903      6               12.4              128.5  
1903      7               14.3              261.4  
1903      8               15.0              179.2  
1903      9               12.2              115.8  
1903     10                8.9              137.1  
1903     11                3.3              133.6  
1903     12               -2.2               29.0  
1904      1               -2.3               42.6  
1904      2                0.1               89.7  
1904      3                2.4               40.7  
1904      4                8.1              119.1  
1904      5               11.3              217.5  
1904      6               14.4              186.6  
1904      7               17.8               34.1  
1904      8               15.9               79.7  
1904      9               10.0              184.4  
1904     10                7.5               86.8  
1904     11                1.9               68.0  
1904     12                0.4               38.4  
1905      1               -3.7               59.2  
1905      2               -0.6               48.3  
1905      3                3.6              105.8  
1905      4                5.5              148.2  
1905      5                8.7              145.5  
1905      6               14.6               85.2  
1905      7               17.9              119.9  
1905      8               15.1              283.8  
1905      9               12.3              171.6  
1905     10                2.9              172.3  
1905     11                2.7               75.6  
1905     12               -0.7               63.7  
1906      1               -0.5               53.7  
1906      2               -1.9               63.7  
1906      3                1.4              102.3  
1906      4                5.8               67.6  
1906      5               10.4              227.3  
1906      6               12.5              180.1  
1906      7               15.9              259.2  
1906      8               15.6               74.4  
1906      9               11.0              103.8  
1906     10               10.0               26.9  
1906     11                4.5               62.8  
1906     12               -3.2              101.1  
1907      1               -2.3              112.9  
1907      2               -3.6               40.6  
1907      3                0.7               96.1  
